"";"CTL.1";"CTL.2";"CTL.3";"CTL.4";"PD1.1";"PD1.2";"PD1.3";"PD1.4";"CMP.1";"CMP.3";"CMP.4"
"TC0400000450.mm.2";7,1770124171707;6,97341914937102;6,66318427764255;7,30268423530341;6,60464738844518;6,57041032658125;7,00583926773618;6,71561511591968;6,90864570512951;6,4319090477263;6,77255365279446
"TC0100001533.mm.2";2,42610976290424;2,22291119888195;2,36387914283885;2,3435297216237;2,18127192943499;2,32841629276589;2,6302338918437;2,25928281891945;2,23942145990539;2,14427700563048;2,31729704300883
"TC0800000560.mm.2";4,19080721129109;3,63993390611418;4,14725145843136;3,91708683576581;3,71351734829922;4,02321821022757;3,20435992051417;3,00197860139104;3,36713435982529;3,68652632029481;2,87775143999363
"TC0X00000343.mm.2";4,39081470114371;4,80680026462458;4,18220288604629;4,01405292403801;4,27238914407948;4,38029082360286;3,89807531039131;3,86797423893891;3,62431625810154;3,68792582286385;3,88714516923036
"TC0X00003391.mm.2";4,12265113947259;3,98367378928188;4,00238741601937;4,20219698834884;3,85748601460355;4,20200819907097;5,00850306681278;3,85321049722192;4,42841282715841;3,92356968562124;3,93810125320289
"TC0700002995.mm.2";4,53855395850982;4,34687234908771;4,75571692803726;4,92637806221687;5,00143852033739;3,97285503267691;5,09147899094477;5,1392058661924;4,75266726582827;4,36407952026185;4,99281117786845
"TC1900000157.mm.2";4,34495140189809;3,66556593597328;3,78789460700585;3,40214834684254;4,04466320845247;3,75832720050822;3,9365348966116;3,80309346669905;3,32256510888038;3,38764798983695;3,64075812454011
"TC0X00000350.mm.2";3,84044473919622;3,78088888535739;4,04664151261934;4,03740761964987;3,98238522586836;4,17994075230096;4,72967099200156;4,20837523172277;4,12101026427928;3,97422092321158;3,97398308473958
"TC0Y00000274.mm.2";3,02042033521438;2,86745285409348;3,08464791156488;3,13234713975173;3,21377146474055;2,67932056516217;3,50042979218119;2,96863333313923;2,98417762009957;2,92322208534414;2,67237210317548
"TC0Y00000453.mm.2";3,00319623042642;2,83111423615267;2,29754656440443;2,85179131306299;2,46528170517741;2,21513356233929;2,62560013070915;2,11680202741841;2,57854766262193;3,17977022972405;2,97665741129717
"TC0Y00000252.mm.2";2,17656798827751;2,58745186187494;2,20217249619532;2,0660401547667;2,87883418205841;2,23305968680056;2,20512531952763;2,01175130246045;2,03774563717044;2,22449811493731;2,3595720249626
"TC1600000967.mm.2";2,12818821413337;1,74910177881457;1,92195918667613;2,19042449469022;1,97596493711498;2,11647151525444;2,49879027757464;2,02679474247572;2,15457631424168;1,95778488052474;2,21825476377826
"TC0600002149.mm.2";1,88163770034451;2,3030577334272;1,85869131604548;2,00911066165566;2,04764584466846;1,7860450028288;1,94156508049933;2,4944817056236;1,90142658644296;1,88193685165337;2,39180790077416
"TC1600002025.mm.2";2,35390302343883;2,76455140375614;2,54753455928326;2,87168225788673;2,35390302343883;2,24493355361381;2,31995479869294;2,23163608683716;2,30340767955403;2,59045644826795;2,82237157738935
"TC0Y00000047.mm.2";3,39769169773103;3,92859833585056;3,34590579245855;3,49333471357516;3,19007359006646;3,38710391521288;2,95698662262851;4,0239729428666;3,39426955967064;3,04890641984877;2,9671664053687
"TC1100003727.mm.2";1,93821160579482;1,92040653981889;1,86739186917257;2,5718680092514;1,80944806675791;1,56594916592932;1,95277135835804;1,89609309324907;1,98862915214254;2,6420671026402;1,81555193339079
"TC0400002546.mm.2";3,68319743619615;3,77846226809757;3,29965861015797;3,54452903541104;3,47961004240762;3,18915011596864;3,74638207853061;3,60725123956347;3,71217773899885;3,69497138468396;2,9058619860125
"TC1100003735.mm.2";5,51536478955206;5,26929387777687;5,30715007894658;5,2552918719894;5,03762303375194;4,91737979350634;5,865716420797;5,29565562523763;5,2552918719894;4,62831729642087;5,11193533113339
"TC1300001191.mm.2";2,16631298046354;2,18266233360661;2,05032067313398;2,92386265465867;1,76394638284143;2,17065601947402;2,4985014731039;2,10052171500517;2,04443565404896;2,0498137434625;2,41564228060133
"TC0100003890.mm.2";8,63521632775907;9,19505520106134;9,09571282478383;8,55169918336621;9,37605612878788;9,35404636577419;9,13196123183885;9,07182379633286;9,2713794706934;9,52812142086343;8,46685046586425
"TC1700001386.mm.2";8,55187680921458;8,67535711585487;8,21722689718565;8,5058197986274;8,25358029244192;8,69603078247661;7,96649378607593;8,45034014711837;8,24337729257602;8,39538112116644;8,14709510031085
"TC0X00000285.mm.2";2,61189101192359;2,10733271383841;2,46499863744732;2,3339034533896;2,27211478445157;2,08322223729601;1,98508030435486;2,04762127935216;2,23599623714738;2,17083791325468;2,26691320857252
"TC0X00000286.mm.2";2,27666671149438;1,92941031475555;2,13603064109509;2,18513036418994;2,50846303874989;2,4136106767678;1,96794247235804;2,26758489606705;1,91652856718542;1,96904315687574;1,62844553857117
"TC0100002762.mm.2";10,5649856651797;11,2117016165025;11,2543461233799;10,2475371918163;11,3491096422882;12,3445382779872;11,0335893454939;11,3782386257487;11,0663102805934;12,1536368835495;11,1627050757043
"TC0800001822.mm.2";1,93488725081954;2,19784118307127;1,84747967634987;2,00778727635975;1,96628992211719;2,49729048540699;2,19523403721504;1,82181119922856;1,98268403949959;1,85584091081587;1,94968891543705
"TC0X00000289.mm.2";2,08678525800838;1,47566088915669;1,86995456357072;1,66097872681438;1,62675599624107;1,374318867191;1,08704254893413;1,40254713977261;1,52394524207145;1,4642286882106;2,12935115134
"TC0700003086.mm.2";7,63862091337693;7,47672201113377;7,61721736041285;7,52508068782681;7,50464178340346;7,25822216303193;6,68163280285198;7,39417346257854;7,2918998251571;7,18878094915842;7,44539645768447
"TC1400000001.mm.2";2,46934480581378;2,62390811819647;3,02593979711078;2,32541138269347;3,10269278111092;2,68890726682654;2,43653310975535;2,46310391862759;2,84832078744212;2,87398996409905;3,28746364899936
"TC1400002780.mm.2";3,81646444382296;3,84438628207963;4,00014540557068;3,56948518311327;3,66243213500644;3,92918910458981;3,74252206784801;3,76011683371381;3,71962403407457;3,81131752552935;3,67268870459422
"TC0X00003422.mm.2";2,70009993626671;2,08823356859064;2,40523636582126;2,03419657281372;1,86189568314767;1,690655366109;1,22137044630654;1,90371756356833;2,0753613835676;1,88494003278951;1,86361134143183
"TC0100000845.mm.2";2,71684623078346;2,33258239732025;2,37136788287355;2,51073155774863;3,04145375889499;2,33981210331225;3,49047674981962;2,79446481278157;2,60397826382348;2,71554686226118;2,09415659878018
"TC0Y00000505.mm.2";2,28292896590018;2,22223114528533;2,10654153524234;2,80195002413298;2,2322230575182;2,52938213213171;2,90159087040693;2,14071161088743;2,6365158301368;1,84833890510358;2,01961380811964
"TC1100003847.mm.2";3,01160480575826;3,09352009888563;2,8012334276144;3,42502881903155;3,08307932458877;2,6934684923955;2,96338780919903;3,02463317073607;3,06217029157796;2,76555599463547;2,50340589478374
"TC0400004188.mm.2";2,30489611444439;2,44010382288075;2,29985365544589;2,0696117762199;2,00049215556082;2,44367289205441;2,27976743350734;2,45245944636241;2,11664143059017;2,22870933106412;1,84950194706152
"TC1000000230.mm.2";3,37795518389693;3,5944175014437;3,48042895449896;3,48042895449896;3,4978067216287;4,05215516985714;3,72461828708106;3,76848059412415;3,78854187122031;3,34931284171843;3,16854793072191
"TC1400002787.mm.2";2,73591798996715;3,09345348350089;3,80243219267623;2,46167044417576;2,86616130569164;2,84868407859646;2,64645871866238;2,64790986548348;3,01637801608595;3,72880133890016;2,70701828808424
"TC0Y00000565.mm.2";3,3438217262951;3,53034250861768;3,82569553829923;4,03029351566186;3,85841556780887;3,61334625179575;3,4017326234566;3,78721049409017;3,55309426131786;3,58029137844265;4,42938693875493
"TC0X00003226.mm.2";2,81623871228594;3,1326683651983;2,74128081246287;3,25591134344872;2,81623871228594;2,86889446004273;3,29188293216452;2,97242648491285;2,88406740273951;2,66279186790893;2,79329945369139
"TC0X00001321.mm.2";2,58752157828889;2,83970138537422;2,41357423676406;1,92473204776665;2,21703918858469;2,28143115104054;2,15938678559911;2,36137708633604;2,845695924797;3,07667265287221;1,88104684637326
"TC0500002779.mm.2";3,04186446515327;2,15313605490761;2,57130673891557;1,98798129355143;2,07719783024948;2,61301369240073;2,49521785630357;2,89601064801542;2,94936788134675;2,44127093741834;3,16311093420943
"TC0400000890.mm.2";3,84331829179087;4,38353777620635;4,44645409052952;4,5930844268674;4,32432030198347;4,67617626558581;4,43551715621473;5,14078866421822;4,18254810702938;4,77305260734638;5,20458082453204
"TC0400001842.mm.2";2,58270040487243;2,70272444854559;2,73493123559632;2,81245531437221;2,62490064218543;2,78598605383671;3,2071764005214;2,69190382595007;3,14241226424141;3,58387474129707;2,30732823049195
"TC0900001354.mm.2";3,12355082155439;3,37009222310747;3,12263201034244;2,79865076409493;3,1446055940082;3,07432697149045;3,46720182138784;3,147551996782;3,51342074554599;3,09246082099024;2,95350180727695
"TC0500000905.mm.2";2,49381558949455;2,44832843487587;2,51016175818494;2,18950664507861;2,69908978449808;2,74904754211906;2,53384777334516;2,71320064894855;2,40653452987994;2,82275290681112;2,34677398655607
"TC0700004633.mm.2";6,55461465622204;6,09159660907259;5,87490021629516;5,9952689413778;6,18700804961195;6,70446705834073;6,72787150473451;6,38154493632398;7,25745029331956;7,6207680204506;6,45958742462577
"TC0700001488.mm.2";1,38507806011683;1,43718296251649;2,2560497411924;1,86730797719807;1,17461873764936;1,33427243204517;1,56657123487763;1,51537241922234;2,15032706427974;1,85019867303274;1,50761908026597
"TC1200002438.mm.2";7,19626958450984;7,08393266191871;7,68402408579412;7,06631602258674;7,89151007837188;7,72277355188172;6,80539487258557;7,40426473389093;7,94184945568779;8,17127254933706;8,22456730400357
"TC0Y00000373.mm.2";1,75339917080429;1,42197956806887;1,72766906258916;1,44417052967611;1,71335294305212;1,67617656472663;1,65198285853757;1,57955806517034;1,8397673400679;1,50339459664712;1,88396586481751
"TC1000000037.mm.2";4,1936890968402;3,88290499194242;3,7648785975257;3,72236200775028;3,56418315681816;3,60639124395059;3,77953640702176;3,84901819080101;3,87452931930136;3,61559525677378;3,85945189693031
"TC1000002428.mm.2";5,11488421986151;4,9646264539852;5,18878937508382;5,2326726084175;5,24863390570365;5,16948753503197;6,15808350058735;5,24566378665984;5,15496755893844;5,62294610769132;5,38352333223493
